"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,SEASON_DESCRIPTION,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v
States,New Jersey,Season 2018-19,X,X,X,X,X,X,X,X
States,New Mexico,Season 2018-19,X,X,X,X,X,X,X,X
States,New York,Season 2018-19,17,0,0,0,0,0,0,0
States,North Carolina,Season 2018-19,X,X,X,X,X,X,X,X
States,North Dakota,Season 2018-19,11,7,2,0,0,0,0,0
States,Ohio,Season 2018-19,X,X,X,X,X,X,X,X
States,Oklahoma,Season 2018-19,X,X,X,X,X,X,X,X
States,Oregon,Season 2018-19,X,X,X,X,X,X,X,X
States,Pennsylvania,Season 2018-19,16,1,1,0,0,0,0,0
States,Rhode Island,Season 2018-19,0,0,0,0,0,0,0,0
States,South Carolina,Season 2018-19,0,0,0,0,0,0,0,0
States,South Dakota,Season 2018-19,24,1,0,0,0,0,0,0
States,Tennessee,Season 2018-19,20,0,0,0,0,0,0,0
States,Texas,Season 2018-19,32,0,0,0,0,0,0,0
States,Utah,Season 2018-19,X,X,X,X,X,X,X,X
States,Vermont,Season 2018-19,X,X,X,X,X,X,X,X
States,Virginia,Season 2018-19,X,X,X,X,X,X,X,X
States,Washington,Season 2018-19,X,X,X,X,X,X,X,X
States,West Virginia,Season 2018-19,X,X,X,X,X,X,X,X
States,Wisconsin,Season 2018-19,145,0,0,1,0,0,0,0
States,Wyoming,Season 2018-19,10,0,0,0,0,0,4,0
States,Puerto Rico,Season 2018-19,0,0,0,0,0,0,0,0
States,Virgin Islands,Season 2018-19,X,X,X,X,X,X,X,X
States,New York City,Season 2018-19,X,X,X,X,X,X,X,X
